Agent_Tone_Scores_Star_Rating,Negative,Neutral,Positive
1.0,0.6566111111111113,0.11583333333333333,0.22744444444444445
1.0,0.5553181818181818,0.19872727272727275,0.2461363636363637
1.0,0.5379166666666666,0.025750000000000006,0.4363333333333333
1.0,0.5316969696969697,0.13060606060606056,0.33781818181818185
1.0,0.5256000000000002,0.08514285714285712,0.3892285714285715
1.0,0.48982608695652174,0.07573913043478261,0.43465217391304345
1.0,0.4700909090909091,0.09886363636363638,0.4311363636363636
1.0,0.4499444444444445,0.22683333333333333,0.32338888888888895
1.0,0.43562500000000004,0.48399999999999993,0.080375
1.0,0.4293333333333334,0.07366666666666664,0.4969230769230769
1.0,0.42152941176470593,0.13158823529411762,0.44694117647058823
1.0,0.4192413793103449,0.11782758620689653,0.4629310344827585
1.0,0.414813953488372,0.32811627906976754,0.25686046511627914
1.0,0.40515384615384625,0.2690769230769231,0.32569230769230767
1.0,0.3980625,0.15043749999999997,0.45159375
1.0,0.39305882352941185,0.2632549019607843,0.3437058823529412
1.0,0.3889270072992701,0.23658394160583937,0.37454014598540125
1.0,0.38809890109890105,0.437802197802198,0.1741428571428572
1.0,0.38495238095238093,0.33252380952380955,0.2823809523809524
1.0,0.3845909090909091,0.3119545454545455,0.3037272727272727
1.0,0.38380000000000003,0.22279999999999997,0.39330000000000004
1.0,0.3806875,0.1714375,0.44787499999999997
1.0,0.37817647058823534,0.1418823529411765,0.479764705882353
1.0,0.3752142857142857,0.191,0.4339285714285715
1.0,0.3717142857142858,0.058857142857142865,0.5695714285714286
1.0,0.37163636363636365,0.246,0.38227272727272726
1.0,0.37100000000000005,0.15187499999999998,0.47725
1.0,0.36899999999999994,0.4607021276595746,0.1701914893617021
1.0,0.36752631578947365,0.23826315789473684,0.3942631578947368
1.0,0.36633333333333334,0.4088333333333333,0.2245
1.0,0.3657111111111112,0.1769555555555555,0.4573333333333332
1.0,0.36466666666666664,0.2320833333333333,0.4031666666666667
1.0,0.364125,0.436375,0.19949999999999996
1.0,0.36386206896551737,0.09006896551724136,0.5460689655172414
1.0,0.36199999999999993,0.17250000000000001,0.4655
1.0,0.35655555555555557,0.5238888888888888,0.11966666666666669
1.0,0.35516666666666663,0.1745,0.4703333333333333
1.0,0.3545,0.19766666666666666,0.44766666666666666
1.0,0.3495,0.42889999999999995,0.22160000000000002
1.0,0.3452307692307692,0.29752307692307695,0.3572769230769231
1.0,0.34299999999999997,0.17923809523809522,0.4777142857142857
1.0,0.3416,0.3928,0.26559999999999995
1.0,0.33949999999999997,0.271,0.3895833333333334
1.0,0.3380277777777778,0.15074999999999997,0.5113333333333333
1.0,0.3374210526315789,0.286421052631579,0.37621052631578944
1.0,0.3325151515151516,0.21927272727272715,0.44818181818181824
1.0,0.3311818181818182,0.4025454545454546,0.2661818181818182
1.0,0.3307333333333334,0.5332666666666667,0.13613333333333336
1.0,0.33035294117647057,0.2504117647058824,0.41917647058823526
1.0,0.3258571428571429,0.4684285714285714,0.20614285714285713
1.0,0.32416666666666666,0.3826666666666667,0.2931666666666667
1.0,0.32415384615384607,0.3701538461538461,0.30569230769230765
1.0,0.3216776859504133,0.31269421487603327,0.3656611570247933
1.0,0.3206923076923077,0.443923076923077,0.23546153846153844
1.0,0.31900000000000006,0.1815816326530612,0.49938775510204086
1.0,0.319,0.3121428571428572,0.36878571428571433
1.0,0.3188571428571429,0.4428571428571427,0.23857142857142857
1.0,0.3186,0.41226666666666667,0.2691333333333333
1.0,0.31774242424242427,0.3276969696969695,0.35450000000000004
1.0,0.31769230769230766,0.18442307692307688,0.49778846153846157
1.0,0.31734545454545454,0.4587636363636364,0.22385454545454553
1.0,0.3127777777777777,0.5760277777777777,0.11119444444444443
1.0,0.3115833333333334,0.27402564102564103,0.41437179487179493
1.0,0.30957142857142855,0.17642857142857146,0.514
1.0,0.30525490196078436,0.306921568627451,0.3877647058823528
1.0,0.305179104477612,0.5530447761194033,0.141865671641791
1.0,0.3034666666666667,0.19720000000000001,0.49946666666666667
1.0,0.3026153846153846,0.25286538461538466,0.4445769230769229
1.0,0.30137861271676336,0.24757514450867057,0.4511011560693642
1.0,0.301125,0.22324999999999998,0.47556249999999994
1.0,0.29920588235294104,0.2194176470588235,0.481335294117647
1.0,0.29824390243902443,0.40460975609756095,0.29712195121951224
1.0,0.2980872727272729,0.25868363636363656,0.4432145454545454
1.0,0.2974166666666666,0.17758333333333334,0.525
1.0,0.2969736842105263,0.2722368421052633,0.43089473684210533
1.0,0.29292105263157897,0.30110526315789465,0.4061052631578947
1.0,0.292625,0.253375,0.45412499999999995
1.0,0.291375,0.164875,0.54425
1.0,0.2910000000000001,0.2665,0.4424444444444444
1.0,0.2907391304347826,0.22834782608695656,0.48099999999999987
1.0,0.2906666666666667,0.15144000000000002,0.5579333333333332
1.0,0.2897741935483871,0.35196774193548386,0.3582258064516129
1.0,0.28900000000000003,0.07654545454545453,0.6344545454545453
1.0,0.2872677165354331,0.3280236220472443,0.38475590551181105
1.0,0.2856363636363636,0.2511818181818182,0.46300000000000013
1.0,0.285,0.5830000000000001,0.13225
1.0,0.2813,0.18869999999999998,0.5302
1.0,0.27820000000000006,0.3135,0.4082
1.0,0.27701351351351367,0.25372972972972974,0.469256756756757
1.0,0.2766799999999999,0.35755999999999993,0.36584000000000005
1.0,0.2762222222222222,0.24916666666666665,0.47450000000000003
1.0,0.27529166666666666,0.03010416666666665,0.6945624999999999
1.0,0.2741851851851852,0.534,0.19170370370370368
1.0,0.27266666666666667,0.22622222222222227,0.5012222222222225
